StartDate,EndDate,Q4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,ConfRfor,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q33_9,Q33_10,ConfRag,MoreInfoPro_1,MoreInfCon_1,Int_100_ave,Att_Ave,SN_Ave,PC_Ave,MacroReasoning_3_items_standardized_Ave,SN_general_Ave,SN_work_Ave,ProReas,ConReas,CounterThePros,CounterTheCons,ProReasFilledw0,ConReasFilledw0,CountertheProsFilledw0,CountertheConsFilledw0,ProFilledw0_minus_conFilledw0,CounterCons_minus_CounterPros
10/27/21 12:57,10/27/21 13:03,always adhere to every CDC Covid-19 recommendation at work,it keeps me safe,I can stop from bringing something home to my kids,It is the right thing to do, , , , , , , ,3, , , , , , , , , , ,4,0, ,66.33333333,5,3.285714286,4.666666667,-0.084335037,4.333333333,2.5,7, ,0, ,7,0,0,0,7,0
10/27/21 13:09,10/27/21 13:18,always adhere to every CDC Covid-19 recommendation at work,required by job, , , , , , , , , ,4,masks are annoying,masks don't help,too much disinfectant creates weak immune systems,too much disinfectant makes stronger germs, , , , , , ,4,0,10,64,5,4.285714286,4.333333333,-2.13665636,4,4.5,4,12, ,1,4,12,0,1,-8,1
10/27/21 23:01,10/27/21 23:17,always adhere to every CDC Covid-19 recommendation at work,So I don't get sick.,I don't want to make anyone else sick,Because it's the smart thing to do,Because I don't want to die from complications of covid 19, , , , , , ,4, , , , , , , , , , , ,0, ,69,5,5,4.666666667,0.747679745,5,5,16, , , ,16,0,0,0,16,0
10/28/21 16:30,10/28/21 16:36,always adhere to every CDC Covid-19 recommendation at work,saves other's life by preventing spread,save my life,added benefit of preventing common illness like cold, , , , , , , ,4, , , , , , , , , , ,4,0, ,69,5,5,5,0.747679745,5,5,10, , , ,10,0,0,0,10,0
10/27/21 12:45,10/27/21 12:51,always adhere to every CDC Covid-19 recommendation at work,to prevent the spread of COVID-19,to kept myself protected from COVID-19, , , , , , , , ,3, , , , , , , , , , ,3,0, ,62,3.666666667,4,4.666666667,-0.084335037,4,4,5, , , ,5,0,0,0,5,0
10/28/21 22:14,10/28/21 23:15,always adhere to every CDC Covid-19 recommendation at work,to keep me safe,to keep my co workers safe,to follow prtocool,to not stand out and be a pain, , , , , , ,4,it is uncomfortable, , , , , , , , , ,4,26,10,63,5,5,4.333333333,0.547650658,5,5,10,0,0, ,10,0,0,0,10,0
10/28/21 8:37,10/28/21 8:55,always adhere to every CDC Covid-19 recommendation at work,Protect myself from infection,Protect my family from infection, Protect others from infection,Not cause unnecessary issues at work,Set an example for others as I am in a leadership position, , , , , ,4,Overkill in prevention,"Others don't follow procedure, limiting effectiveness of me complying",Change in habits,Uncomfortable,Inconvenient, , , , , ,3,5,63,65,4.333333333,3.857142857,4,0.223787269,3.666666667,4,15,9,1,8,15,9,1,8,6,7
10/28/21 9:56,10/28/21 10:16,always adhere to every CDC Covid-19 recommendation at work,To not spread COVID,To avoid catching COVID,Safety,Keeping my job,Respect for others, , , , , ,3,I can not perform my job 6 feet away from others, , , , , , , , , ,4,0,0,65,4.333333333,3.428571429,4,-1.720857104,2.666666667,4,17,4,4, ,17,4,4,0,13,-4
10/27/21 15:20,10/27/21 15:32,always adhere to every CDC Covid-19 recommendation at work,to prevent from getting sick,to avoid getting others sick,to avoid getting my family sick,to be able to continue to work,so I do not have to quarantine, , , , , ,3,time consuming,costly,annoying,makes me tired,over it, , , , , ,3,0,0,54.66666667,4,4,3,-0.472626795,4,4,20,14,4, ,20,14,4,0,6,-4
10/28/21 18:00,10/28/21 18:14,always adhere to every CDC Covid-19 recommendation at work,protect myself,protect others,helps guard against other diseases/viruses, , , , , , , ,3,too busy,too much of a hassle,not enough time,not sure about validity of vaccines, , , , , , ,4,22,60,56.66666667,3.333333333,3.714285714,3.333333333,-0.472626795,4,3.5,9,13,1,7,9,13,1,7,-4,6
10/27/21 22:20,10/27/21 22:33,always adhere to every CDC Covid-19 recommendation at work,to help keep other family members safe when I am around them and not bringing something home from work,to keep the students around me safe if I happen to be asymptomatic,can't afford to take time off from work if I get sick, , , , , , , ,3,mask makes it hard to breathe,sometimes am not in an area where I can wash hands frequently, , , , , , , , ,4,1,0,50.33333333,4.333333333,3.142857143,2.666666667,0.547650658,3.333333333,3,7,3,0, ,7,3,0,0,4,0
10/27/21 15:11,10/27/21 15:35,always adhere to every CDC Covid-19 recommendation at work,Curbing the spread of covid at work.,Maintaining proper hygiene.,"Consideration for others, their well being, and general safety.",It is the morally responsible thing to do.,The CDC recommendations generally make a safer workplace., , , , , ,4,Long hours with a mask becomes annoying.,Some workloads don't allow for washing hands in between.,There are tasks that social distancing won't allow.,Some people are constantly being tested before going the workplace and don't want to use protective equipment., , , , , , ,3,18,29,69,4.666666667,4.714285714,4,0.223787269,4.333333333,5,16,13,1,0,16,13,1,0,3,-1
11/1/21 8:48,11/1/21 9:08,always adhere to every CDC Covid-19 recommendation at work,Job security,Conscientiousness,General sanitation,Community spread, , , , , , ,2,Inconvenient,Unnecessary,Low risk,Low mortality rate,Mental health issues,Lack of closeness, , , , ,3,6,10,62,3.333333333,4.571428571,3,-0.672655882,5,4.25,8,11,2,4,8,11,2,4,-3,2
10/27/21 15:06,10/27/21 16:10,always adhere to every CDC Covid-19 recommendation at work,To keep myself healthy,To not get others sick,To obey the rules set my employer,To help stop the Covid spread, , , , , , ,3,To be closer to coworkers,To hear better,To collaborate well, , , , , , , ,3,0,0,41.66666667,3.666666667,4,2.333333333,-0.084335037,4,4,11,3,1,5,11,3,1,5,8,4
10/27/21 20:30,10/27/21 21:14,always adhere to every CDC Covid-19 recommendation at work,To no contract then spread it to an immune-compromised family member.,To also not contract and spread it to others.,"To not be sick, so I'll able to perform my job more effectively.","So I do not get sick, hurting my health whether mild or severe.",To set an example for others and contribute to social-awareness of the guidelines..,"Because it's my job to follow the Covid-19 guidelines, with little to no consequence when weighed with the risk of contracting the disease.",To show empathy.,"To help get the world back on track, hopefully contributing to an eventual 'herd'-immunity.",To show respect.,To show I am not above anyone else.,4,It can become very tedious.,"I may not contribute much in the long-run, especially if others are not following the guideline.",The disease may get so much worse at an accelerated rate that current safe-measures may eventually be irrelevant.,The time and money that are taken for proper-measures could be time and money spent on work instead.,The vaccines may eventually do little because of the resistance of the virus.,The vaccines may also be discovered to have very bad side-effects that outweigh the side-effects of Covid-19 and 'long-haul' Covid., , , , ,2,23,35,55.66666667,4.666666667,4.428571429,2.333333333,0.747679745,4,4.75,26,7,3,14,26,7,3,14,19,11
10/29/21 11:10,10/29/21 11:50,always adhere to every CDC Covid-19 recommendation at work,Most are basic sanitary rules that were already followed and expected by many people before these guidelines existed.,Makes people regardless of effectiveness feel comfortable.,Can help slow or prevent the spread of disease.,Helps everything continue to run smoothly., , , , , , ,3,"Extra work that is not necessary such as cleaning surfaces after immediate use, since there is no data deeming this necessary.",Makes the environment uncomfortable by always having to wear a mask while working.,Makes it hard to hear and deal with customers because of distance and speaking through mask., , , , , , , ,3,0,0,56.33333333,2.333333333,3.142857143,4,-0.796490184,2.666666667,3.5,10,6,5,1,10,6,5,1,4,-4
10/27/21 13:36,10/27/21 13:49,always adhere to every CDC Covid-19 recommendation at work,It will keep others safe,It will keep you safe,normal america, , , , , , , ,3,Because I dont feel this mandate is okay,What is even in the vaccine,Destroyed america, , , , , , , ,3,100,80,35,3,2.571428571,5,-1.736598186,2,3,6,9,6,5,6,9,6,5,-3,-1
10/29/21 21:02,10/29/21 21:10,always adhere to every CDC Covid-19 recommendation at work,to stay healthy,to stop the spread,to not risk getting other people sick, , , , , , , ,3,annoying,not 100 percent effective, , , , , , , , ,3,17,8,21.66666667,3.333333333,4,3,-0.084335037,4,4,12,2, , ,12,2,0,0,10,0
10/27/21 12:28,10/27/21 12:41,always adhere to every CDC Covid-19 recommendation at work,general health,cleanliness,safety for self,safety for others,sanitary, , , , , ,4,time consuming,against vaccines, , , , , , , , ,2,29,50,41.66666667,5,3.571428571,2.333333333,-0.084335037,4,3.25,16,1,0,1,16,1,0,1,15,1
10/27/21 12:33,10/27/21 12:48,always adhere to every CDC Covid-19 recommendation at work,"So ""stop the spread""","""Flatten the Curve""",Avoid another shut down,Avoid a fine, , , , , , ,3,They make no sense sometimes,Limits freedom, , , , , , , , ,4,10,8,17.33333333,3,2.857142857,3,-1.10461249,2.666666667,3,12,8,15,8,12,8,15,8,4,-7
10/31/21 19:43,10/31/21 20:58,always adhere to every CDC Covid-19 recommendation at work,Safety among peers,Good habit forming,Less transmission, , , , , , , ,3,Time consuming,Labor intensive,Less human feel, , , , , , , ,3,70,60,41.66666667,3.666666667,3.714285714,2.666666667,-0.580720014,3.666666667,3.75,10,9,5,3,10,9,5,3,1,-2
10/27/21 14:10,10/27/21 14:25,always adhere to every CDC Covid-19 recommendation at work,So people don't get angry with me,So I don't get other people sick,So I don't get sick, , , , , , , ,4,"The more you comply, the more rules they make up",I don't believe they are necessary so its a waste of my time, , , , , , , , ,4,0,0,14,1.666666667,3.142857143,2,-2.460519749,3.333333333,3,2,7,4,0,2,7,4,0,-5,-4
10/27/21 12:27,10/27/21 12:40,always adhere to every CDC Covid-19 recommendation at work,Personal health and safety,Safety of other people, , , , , , , , ,4,Difficult to be heard or understood on phone,Personal discomfort or inconvenience, , , , , , , , ,4,0,0,26.66666667,3,3.142857143,2,-1.10461249,3.333333333,3,6,6,2,1,6,6,2,1,0,-1
10/27/21 20:20,10/27/21 20:41,always adhere to every CDC Covid-19 recommendation at work,to keep job,to keep yourself healthy,to keep coworkers healthy,to keep customers healthy, , , , , , ,3,takes time,uncomfortable, , , , , , , , ,3,18,22,58.33333333,1,4,2.333333333,-0.084335037,4,4,12,3,1,5,12,3,1,5,9,4
10/29/21 2:24,10/29/21 2:34,always adhere to every CDC Covid-19 recommendation at work,Prevent spread of virus,Ensure a clean work environment,Minimize sick days, , , , , , , ,4, , , , , , , , , , , ,15, ,48.66666667,4.666666667,4.714285714,3.666666667,-0.084335037,4.666666667,4.75,5, ,1, ,5,0,1,0,5,-1
10/27/21 14:10,10/27/21 14:22,always adhere to every CDC Covid-19 recommendation at work,To help prevent spreading any illnesses to my parents., , , , , , , , , ,4,My cube has tall walls so while there are a decent number of people in my area I'm not worried about any of them breathing on me., , , , , , , , , ,4,0,0,34.66666667,3.333333333,3,3.666666667,0.747679745,3.333333333,2.75,4,4,1,1,4,4,1,1,0,0
10/27/21 14:26,10/27/21 14:49,always adhere to every CDC Covid-19 recommendation at work,Avoid Illness,Avoid spreading illness,social approval,Following sound medical advice,Obey employer,Abundance of caution, , , , ,4,Inconvenience,Unconcern,Recommendations are excessive, , , , , , , ,3,0,0,51.66666667,4,2.857142857,3.333333333,-0.084335037,3.333333333,2.5,15,3,10,8,15,3,10,8,12,-2
10/27/21 13:22,10/27/21 13:45,always adhere to every CDC Covid-19 recommendation at work,Not spreading germs,To follow the CDC's recommendation,To keep from getting sick,To avoid hassle,To avoid judgement,To be caring,To be considerate,To avoid conflict,To do what I want,To hide my face,4,To be independant,To have freedom,To disobey,To be rebellious, , , , , , ,4,5,87,65.33333333,4.666666667,2.714285714,5,0.747679745,1.666666667,3.5,38,5,3,10,38,5,3,10,33,7
10/30/21 9:48,10/30/21 11:13,always adhere to every CDC Covid-19 recommendation at work,To keep safe from germs,To keep others safe from germs,To avoid judgement,To fit in,To feel accepted,To follow regulation,To avoid loss of job,To avoid customer disapproval, , ,4,You forget.,Screw the system.,To have freedom,To avoid judgement,To rebel,To be independent,Because it's not a real virus, , , ,4,3,100,64.66666667,5,2.857142857,5,0.547650658,1,4.25,26,2,1,19,26,2,1,19,24,18
10/27/21 12:26,10/27/21 12:55,always adhere to every CDC Covid-19 recommendation at work,It keeps everyone healthier,It keeps illnesses away from my family,It provides a sense of security at work,It helps people feel welcomed,It provides a sense of unity,It reduces sick days,It prevents the spread of viruses other than Covid-19, , , ,4,It is tedious,Some people feel it infringes on their freedoms,It causes a change in preferred routine, , , , , , , ,3,10,20,62,5,4,4,-0.084335037,4,4,17,3,1,6,17,3,1,6,14,5
10/27/21 12:36,10/27/21 12:57,always adhere to every CDC Covid-19 recommendation at work,safety for myself,safety for co-workers,courtesy,general social good, , , , , , ,4,sometimes the rules are overly cautious,sometimes rules are onerous,6ft. rule sometimes difficult in real life,everyone in office is vaxxed, , , , , , ,3,15,20,46,4.666666667,4.285714286,3,-0.084335037,4,4.5,13,6,6,10,13,6,6,10,7,4
10/27/21 12:45,10/27/21 12:56,always adhere to every CDC Covid-19 recommendation at work,To Steer Clear of Covid-19,Risk Spreading,Protect myself and others,Keep myself healthy, , , , , , ,4,I see these people more than my family, , , , , , , , , ,4,43,3,2.333333333,3.666666667,3,4,-0.580720014,1.666666667,4,16,4,3,3,16,4,3,3,12,0
10/31/21 15:51,10/31/21 16:08,always adhere to every CDC Covid-19 recommendation at work,Protect myself,Protect my loved ones,Protect others from covid, , , , , , , ,4,Don’t have the time,Others are not adhering, , , , , , , , ,3,33,35,50.66666667,4,3.428571429,3.333333333,-0.084335037,4,3,9,4,2,4,9,4,2,4,5,2
10/27/21 16:07,10/27/21 16:26,always adhere to every CDC Covid-19 recommendation at work,keeping myself from spreading COVID,Keeping myself from catching COVID,Avoiding penalties from my workplace for not adhering, , , , , , , ,4,"Convenience, not having to always think about the rules","My workspace is very rarely visited by others, so some rules like disinfecting frequently isn't as important", , , , , , , , ,3,0,20,56.66666667,4.333333333,4.428571429,5,-0.084335037,4.333333333,4.5,9,4,4,5,9,4,4,5,5,1
10/27/21 12:21,10/27/21 12:37,always adhere to every CDC Covid-19 recommendation at work,keep myself safe,keep my coworkers safe,ensure I and other employees are healthy and can do the jobs we are paid to do,ensure continual service to customers, , , , , , ,4,time spent to meet recommendations take time away from working,it's difficult to be comfortable wearing a mask,it's harder to communicate effectively wearing a mask,it would be difficult if not impossible to have in person meetings in conference rooms and maintain distance, , , , , , ,4,0,0,58.66666667,5,5,3.666666667,0.547650658,5,5,13,0,1,0,13,0,1,0,13,-1
10/28/21 13:56,10/28/21 14:10,always adhere to every CDC Covid-19 recommendation at work,keep myself safe,keep others safe, , , , , , , , ,4, , , , , , , , , , , ,0, ,62,5,4.428571429,4,0.747679745,4.333333333,4.5,8, ,1, ,8,0,1,0,8,-1
10/28/21 0:07,10/28/21 0:21,always adhere to every CDC Covid-19 recommendation at work,It helps prevent you from getting COVID.,It helps prevents others from getting COVID (Customers and fellow employees).,It is just good practice since it will also help prevent other transmissible diseases.,Doing so shows respect and concerns for yourself and those around you., , , , , , ,4,It is very time consuming to do so.,"We may not have the resources to do everything properly, such as disinfecting all surfaces.","In some settings, it is unreasonable or impossible to maintain a 6 foot distance from each other consistently.",Not everyone can get vaccinated., , , , , , ,4,25,60,58.66666667,5,4,2.666666667,0.747679745,4,4,11,9,2,2,11,9,2,2,2,0
10/27/21 17:19,10/27/21 17:39,always adhere to every CDC Covid-19 recommendation at work,For the safety of coworkers.,For the safety of my patients,Because we'd be punished if we did not.,It is our company's/hospital's rule (to follow).,For my own protection., , , , , ,4,The masks make breathing difficult,Physically not able to distance ourselves,Our work requires a hands-on approach, , , , , , , ,4,10,0,47,1.333333333,4.571428571,1,-0.780749101,5,4.25,15,10,1,1,15,10,1,1,5,0
10/27/21 21:04,10/27/21 21:27,always adhere to every CDC Covid-19 recommendation at work,"To protect others, especially my family",To protect myself,To show others that I care about their well being,So that I do not miss work time/pay bills, , , , , , ,4,Some are annoying/hate wearing mask,The safety 'police' at work get on my nerves, , , , , , , , ,3,0,0,65.33333333,4.666666667,3.857142857,3,0.747679745,4,3.75,13,1,0,5,13,1,0,5,12,5
10/27/21 15:52,10/27/21 16:16,always adhere to every CDC Covid-19 recommendation at work,To stay healthy,To protect my unvaccinated kids,To protect the society,To show example as a good citizen., , , , , , ,4,It is inconvenient,Some people judge me for that,It is a hassle, , , , , , , ,3,10,25,65.33333333,5,5,3,0.747679745,5,5,14,3,5,11,14,3,5,11,11,6
11/1/21 9:54,11/1/21 10:03,always adhere to every CDC Covid-19 recommendation at work,stay healthy,not get sick, , , , , , , , ,4,none, , , , , , , , , ,4,9,52,69,5,4,5,0.547650658,4,4,8,2, ,2,8,2,0,2,6,2
10/27/21 18:44,10/27/21 19:00,always adhere to every CDC Covid-19 recommendation at work,to prevent getting sick,to not get others sick,to prevent the spread of the virus, , , , , , , ,3, , , , , , , , , , ,4,64, ,67.66666667,5,4.571428571,3.333333333,0.747679745,4,5,12, ,0, ,12,0,0,0,12,0
10/27/21 13:10,10/27/21 13:20,always adhere to every CDC Covid-19 recommendation at work,Avoid contacting covid,To help protect coworkers,To protect against infecting family members, , , , , , , ,4, , , , , , , , , , ,4,3, ,69,5,4,5,0.747679745,5,3.25,11, , , ,11,0,0,0,11,0
10/27/21 13:19,10/27/21 13:24,always adhere to every CDC Covid-19 recommendation at work,I want to protect myself from Covid 19.,I want to protect others from Covid 19., , , , , , , , ,4, , , , , , , , , , , ,1, ,69,4,5,4,0.747679745,5,5,8, , , ,8,0,0,0,8,0
10/29/21 2:36,10/29/21 2:46,always adhere to every CDC Covid-19 recommendation at work,Handling often used cash,Being face to face with hundreds of customers,Protecting myself from others,Not infecting others,Not getting infected from handling products,Reassure customers that they're safe,Following HR's guidelines,Appear presentable to other staff, , ,3,Annoying to wear a mask,Extra costs of buying disinfectants, , , , , , , , ,2,0,0,65.66666667,5,4.142857143,4.333333333,0.439557439,3.666666667,4.5,19,3,4,3,19,3,4,3,16,-1
10/29/21 20:07,10/29/21 20:24,always adhere to every CDC Covid-19 recommendation at work,Stay safe,Avoid getting others sick,Avoid being judged by others,Avoid possibly breaking any laws or mandates, , , , , , ,3,Able to breathe more easily,Difficult to make enough space between people at work, , , , , , , , ,3,0,0,5.333333333,4.333333333,2.571428571,1,-1.628504966,3.333333333,2,5,6,3,0,5,6,3,0,-1,-3
10/27/21 17:35,10/27/21 17:48,always adhere to every CDC Covid-19 recommendation at work,helping to prevent the spread of Covid-19,ensuring that my family stays healthy,protecting people I do not know but could come into contact with long enough to transmit, , , , , , , ,4,time consuming,wearing a mask is uncomfortable, , , , , , , , ,4,10,40,62,5,3.142857143,3.333333333,0.747679745,4.333333333,2.25,12,4,0, ,12,4,0,0,8,0
10/27/21 16:15,10/27/21 16:24,always adhere to every CDC Covid-19 recommendation at work,To protect yourself from Covid-19,To protect others from Covid-19, , , , , , , , ,3,none, , , , , , , , , ,3,10,0,65.33333333,4.666666667,4.142857143,4,0.747679745,4,4.25,6,0, , ,6,0,0,0,6,0
11/1/21 12:15,11/1/21 12:25,always adhere to every CDC Covid-19 recommendation at work,So that I don't get sick,Because it is good hygene practices, , , , , , , , ,3,Because some of it isn't necessary,Because there is a lot to do,Because I'm not going to be forced to take a vaccine, , , , , , , ,3,0,0,31,2.666666667,1.428571429,2.666666667,-1.812792971,2,1,6,10,2,1,6,10,2,1,-4,-1
10/27/21 12:36,10/27/21 12:51,always adhere to every CDC Covid-19 recommendation at work,follow guidelines,mitigate risk,make others feel comfortable, , , , , , , ,3,hard to breathe,do not trust these procedures work,inconvenient, , , , , , , ,3,71,70,58.33333333,3.666666667,2.857142857,2,-1.10461249,2.666666667,3,9,5,2,6,9,5,2,6,4,4
10/27/21 12:46,10/27/21 12:53,always adhere to every CDC Covid-19 recommendation at work,to protect myself,to protect others,to comply, , , , , , , ,4,It is a hassle,sometimes it feels extreme,i miss the norm, , , , , , , ,4,0,0,57.33333333,5,4.142857143,5,-1.504670665,3,5,4,9,2,1,4,9,2,1,-5,-1
10/27/21 12:46,10/27/21 13:01,always adhere to every CDC Covid-19 recommendation at work,My safety,Others safety,Rules highly enforced,Avoid fines, , , , , , ,4,Not enforced,Not worried about safety,Rules are counterproductive,Senseless rules,Hypocritical rules, , , , , ,4,1,0,17.33333333,2.333333333,2.142857143,1,-0.472626795,2.333333333,2,11,15,0,0,11,15,0,0,-4,0
10/27/21 14:32,10/27/21 14:40,always adhere to every CDC Covid-19 recommendation at work,protect myself,protect others,protect my family at home, , , , , , , ,4,takes a lot of effort,takes a lot of time, , , , , , , , ,3,0,20,65.33333333,5,4.142857143,2,0.423816357,4.666666667,3.75,10,3, ,8,10,3,0,8,7,8
10/27/21 13:01,10/27/21 13:11,always adhere to every CDC Covid-19 recommendation at work,Stay germ free,Keep from getting sick,Keep from spreading germs to others, , , , , , , ,4, , , , , , , , , , ,4,0, ,53.66666667,4,4.571428571,3,0.547650658,4,5,11, ,2, ,11,0,2,0,11,-2
